battle;article;date;state;outcome;start_date;victory;battle_location
Battle of Cape Henry;https://en.wikipedia.org/wiki/Battle_of_Cape_Henry;March 16, 1781;Virginia;British victory;1781-03-16;British victory;37.15, -75.152
Battle of Alligator Bridge;https://en.wikipedia.org/wiki/Battle_of_Alligator_Bridge;June 30, 1778;East Florida;British victory;1778-06-30;British victory;
Raid on Lunenburg;https://en.wikipedia.org/wiki/Raid_on_Lunenburg,_Nova_Scotia_(1782);July 1, 1782;Nova Scotia;Patriot victory;1782-07-01;Patriot victory;44.3833333333, -64.3166666667
Battle of the Chesapeake;https://en.wikipedia.org/wiki/Battle_of_the_Chesapeake;September 5, 1781;Virginia;French victory;1781-09-05;;36.9675, -75.5391666667
Battle of Wambaw;https://en.wikipedia.org/wiki/Battle_of_Wambaw;February 24, 1782;South Carolina;British victory;1782-02-24;British victory;33.2, -79.95
Battle of Bemis Heights;https://en.wikipedia.org/wiki/Battles_of_Saratoga;October 7, 1777;New York;Patriot victory: Second of the two Battles of Saratoga, British under Burgoyne driven back and forced to surrender 10 days later.;1777-10-07;Patriot victory;42.9988888889, -73.6375
Little Egg Harbor massacre;https://en.wikipedia.org/wiki/Little_Egg_Harbor_massacre;October 16, 1778;New Jersey;British victory;1778-10-16;British victory;39.549, -74.375
Battle of Young's House;https://en.wikipedia.org/wiki/Battle_of_Young%27s_House;February 3, 1780;New York;British victory;1780-02-03;British victory;41.1216666667, -73.7769444444
Action of 16 March 1782;https://en.wikipedia.org/wiki/Action_of_16_March_1782;March 16, 1782;Strait of Gibraltar;British victory;1782-03-16;British victory;35.8666666667, -5.96666666667
Action of 14 September 1779;https://en.wikipedia.org/wiki/Action_of_14_September_1779;September 14, 1779;Azores;British victory;1779-09-14;British victory;
Battle of Jersey;https://en.wikipedia.org/wiki/Battle_of_Jersey;January 6, 1781;Jersey;British victory;1781-01-06;British victory;49.18238, -2.10749
Battle of Cowpens;https://en.wikipedia.org/wiki/Battle_of_Cowpens;January 17, 1781;South Carolina;Patriot victory;1781-01-17;Patriot victory;35.1368333333, -81.816
Lochry's Defeat;https://en.wikipedia.org/wiki/Lochry%27s_Defeat;August 24, 1781;Quebec;British-Iroquois victory;1781-08-24;;39.0586111111, -84.9063888889
